Grupo de Pesquisa,Instituição,Líder 1,Líder 2,Área
Aplicação de Inteligência Computacional,UFMS,Joao Onofre Pereira Pinto,Edson Antonio Batista,Engenharia Elétrica
Aplicação de Recursos Eletrofísicos e Engenharia Tecidual na saúde,UNIVBRASIL,Carla Roberta Tim,Lívia Assis Garcia,Fisioterapia e Terapia Ocupacional
Aplicação de Revestimentos por Soldagem em Materiais Metálicos,UFGD,Edilson Nunes Pollnow,,Engenharia de Materiais e Metalúrgica
Aplicação de Tecnologias Analíticas para Agregação de Valor a Produtos e Subprodutos da Fruticultura Amazônica,UFPA,Orquídea Vasconcelos dos Santos,,Ciência e Tecnologia de Alimentos
Aplicação de ultrassom de potencia em processos alimentícios e biotecnológicos,UNESP,Javier Telis Romero,Marinônio Lopes Cornélio,Ciência e Tecnologia de Alimentos
Aplicação do Laser de Baixa Potência em lesões de pele,UEMG,Júlia Souki Diniz,,Fisioterapia e Terapia Ocupacional
Aplicação do laser na área da saúde,UNIP,Cintia Helena Coury Saraceni,,Odontologia
Aplicação do pensamento de S. Zizek na análise literária e em outras artes narrativas,UEM,Marisa Corrêa Silva,,Letras
Aplicação do ultrassom no processamento de alimentos,UFES,Jackline Freitas Brilhante de São José,,Nutrição
Aplicações Analíticas e Computacionais de Métodos Matemáticos,UPF,Rosana Maria Luvezute Kripka,Neuza Terezinha Oro,Matemática
Aplicações da Bioinformática na detecção de Biomarcadores Tumorais,CEUNSP,Regiane Priscila Ratti Sartori,,Saúde Coletiva
"Aplicações da Pesquisa Operacional em Segurança, Defesa e Desenvolvimento Nacional",ESG,Luiz Octavio Gaviao,,Defesa
Aplicações da Teoria de Cordas à Física de Partículas,UFRJ,Nelson Ricardo de Freitas Braga,Henrique Boschi Filho,Física
APLICAÇÕES DAS RADIAÇÕES EM SISTEMAS POLIMÉRICOS E NANOESTRUTURAS,UFPE,Elmo Silvano de Araújo,,Engenharia Nuclear
Aplicações de Cluster e Grid Computing,UNISINOS,Rodrigo da Rosa Righi,Cristiano André da Costa,Ciência da Computação
Aplicações de Dados Avançadas/Advanced Data Applications,UTFPR,Nádia Puchalski Kozievitch,,Ciência da Computação
Aplicações de micro-ondas em processos químicos,IMT,Edmilson Renato de Castro,Eduardo Victor dos Santos Pouzada,Engenharia Química
"Aplicações de nanotecnologia, filmes finos e novos materiais em microeletrônica e sensores",USP,Ronaldo Domingues Mansano,,Engenharia Elétrica
Aplicações de Satélites Ambientais em Meteorologia e Climatologia,UFRJ,José Ricardo de Almeida França,Renata Libonati dos Santos,Geociências
Aplicações de Sistemas Inteligentes,IFES,Luis Eduardo Martins de Lima,Hans Rolf Kulitz,Engenharia Elétrica
Aplicações de Smart Grids nos Sistemas Elétricos de Potência,UFOP,Wilingthon Guerra Zvietcovich,,Engenharia Elétrica
Aplicações de Tecnologias Sustentáveis em Arranjos Produtivos Locais,IFPE,José Carlos da Costa,,Agronomia
Aplicações de Teoria Quântica de Campos à Física da Matéria Condensada,UFMA,Josberg Silva Rodrigues,,Física
Aplicações do método SPH (Smoothed Particles Hydrodynamics),IFNMG,Tatiane Reis do Amaral,,Ciência da Computação
Aplicações em Engenharia de Sistemas Ciber Físicos,PUC/SP,Carlos Antonio França Sartori,Roberta Vieira Raggi,Engenharia Elétrica
Aplicações em Matemática e Computação,IFSP,Marques Moreira de Sousa,Marlon da Silva,Matemática
Aplicações Matemáticas,UFOPA,Hugo Alex Carneiro Diniz,Aroldo Eduardo Athias Rodrigues,Matemática
Aplicações nanobiotecnológicas de biomoléculas,EMBRAPA,Luciano Paulino da Silva,,Bioquímica
Aplicações não-convencionais de Marketing,USCS,Silvio Augusto Minciotti,,Administração
Aplicações Sintéticas da Catálise de Transferência de Fase,USP,Liliana Marzorati,,Química
Aplicações Tecnológicas de Produtos Naturais,UEM,Cristiane Mengue Feniman Moritz,Otavio Akira Sakai,Microbiologia
Aplicações Terapêuticas da Biofotônica,UNINOVE,Sandra Kalil Bussadori,Anna Carolina Ratto Tempestini Horliana,Engenharia Biomédica
APOENA - Agriculturas familiares amazônicas e o enfoque agroecológico,UFPA,Luis Mauro Santos Silva,William Santos de Assis,Agronomia
APOENA - Pesquisa sobre a Eletrodinâmica Ionosférica,INPE,Clezio Marcos De Nardin,,Física
APOIAR- Núcleo de investigação das psicopatologias da infância e adolescência,UFF,Cláudia Henschel de Lima,Antonio Augusto Pinto Junior,Psicologia
ApoiaRAPS,UFPB,Filipe Ferreira da Costa,Juliana Sampaio,Saúde Coletiva
APOIO À DECISÃO EM MANUTENÇÃO INDUSTRIAL,UTFPR,Flavio Trojan,,Engenharia de Produção
Apoio Nutricional e Integrativo à Maternidade e Saúde Infantil (ANIMASI),UFF,Daniele Mendonça Ferreira,Rosane Valéria Viana Fonseca Rito,Nutrição
Apophatiké - Estudos Interdisciplinares sobre Mística,UFF,Marcus Reis Pinheiro,Eduardo Guerreiro Brito Losso,Filosofia
Apoptose e Angiogênese,UFMG,Paula Peixoto Campos,Ricardo Gonçalves,Biotecnologia
APORIA - Grupo de Estudos em Filosofia e Performance,UFOP,Luciana da Costa Dias,Leandro da Silva Pires,Artes
APORTAÇÕES PICTÓRICAS,UFRRJ,Fábio Ricardo Reis De Macêdo,Marcelo Duprat Pereira,Artes
Após o fim da arte: dilemas da estética e da filosofia da arte na contemporaneidade,UESPI,Solange Aparecida de Campos Costa,,Filosofia
Application of non-expected utility and boundedly rational choice,FGV,Kazuhiro Hara,,Economia
Applied Nanomaterials & Devices (AND),UFMS,Diego Carvalho Barbosa Alves,Alem Mar Bernardes Goncalves,Física
Applied Nanostructured Systems Laboratory,UNICENTRO,Najeh Maissar Khalil,,Farmácia
APREMUS - Grupo de Pesquisa sobre Aprendizagens Musicais na Contemporaneidade,UNESP,Margarete Arroyo,Heloisa Faria Braga Feichas,Artes
APRENDE STEAM,UFSM,Marcelo Pustilnik de Almeida Vieira,,Educação
Aprendendo a ser professor de inglês na Amazônia: crenças na formação docente inicial,UNIFESSPA,Luciana Kinoshita Barros,,Lingüística
Aprendendo a ser professor: uma abordagem sociocultural à formação de professores (GPFor),UFSC,Adriana de Carvalho Kuerten Dellagnelo,Maria Ester Wollstein Moritz,Letras
APRENDESIGN: Design em Situações de Ensino Aprendizagem,PUC-Rio,Rita Maria de Souza Couto,,Desenho Industrial
AprendHis: Grupo de Pesquisa e Estudos em Aprendizagem Histórica,UFG,Cristiano Nicolini,Kenia Erica Gusmão Medeiros,História
Aprendizado de Máquina,UNIFESP,Marcos Gonçalves Quiles,Márcio Porto Basgalupp,Ciência da Computação
Aprendizado de Máquina aplicado à saúde,IFNMG,Laércio Ives Santos,,Ciência da Computação
Aprendizado de Máquina e Processamento da Informação,UNICAMP,Romis Ribeiro de Faissol Attux,Rafael Ferrari,Engenharia Elétrica
Aprendizado de Máquina e Visão Computacional aplicado ao Reconhecimento de Objetos,UTFPR,Danilo Sipoli Sanches,Silvio Ricardo Rodrigues Sanches,Ciência da Computação
Aprendizado de Máquina para Ciência de Dados,USP,André Carlos Ponce de Leon Ferreira de Carvalho,,Ciência da Computação
Aprendizado de Máquina Quântico,UFOP,Luiz Carlos Bambirra Torres,Frederico Gualberto Ferreira Coelho,Engenharia Elétrica
Aprendizado de Máquinas,FGV,Alberto Paccanaro,,Ciência da Computação
"Aprendizados ao longo da vida: sujeitos, políticas e processos educativos",UERJ,Jane Paiva,,Educação
Aprendizagem Ativa para a Formação Profissional,UNIFEI,Renata dos Santos,,Educação
Aprendizagem Baseada em Problemas,CEFET/RJ,Raul dos Santos Neto,Júlio César Santos da Silva,Educação
Aprendizagem baseada em problemas e projetos,UNIFESP,Joao Alberto Arantes do Amaral,,Educação
Aprendizagem de Máquina e Agentes de Software,UTFPR,Helyane Bronoski Borges,André Pinz Borges,Ciência da Computação
Aprendizagem e Ação Docente,UNIOESTE,Maria Lidia Sica Szymanski,Jane Peruzo Iacono,Educação
Aprendizagem e Conhecimento na Prática Docente,PUC/PR,Evelise Maria Labatut Portilho,Daniele Saheb Pedroso,Educação
Aprendizagem e Cultura Organizacional na contemporaneidade: narrativas dialógicas emancipatórias,UFRRJ,Valéria Marques de Oliveira,Hérica Landi de Brito,Psicologia
Aprendizagem e Ensino de Língua Estrangeira (AELE),UNICENTRO,Leonilda Procailo,André Luís Specht,Lingüística
Aprendizagem e Saberes nas Organizações: Processos e Contextos,UCS,Fabiano Larentis,,Administração
Aprendizagem em rede - GRUPAR,UFJF,Adriana Rocha Bruno,,Educação
Aprendizagem Lúdica: Pesquisas e Intervenções em Educação e Desporto,UnB,Antônio Villar Marques de Sá,,Educação
Aprendizagem Motora e Desenvolvimento Humano,UDESC,Érico Pereira Gomes Felden,Thais Silva Beltrame,Educação Física
Aprendizagem nas Organizações e nas Trajetórias de Vida,UFU,Henrique Geraldo Rodrigues,,Administração
"APRENDIZAGEM ORGANIZACIONAL: CAMPO DE PRÁTICAS DE ENSINO, PESQUISA, EXTENSÃO E GESTÃO",UESB,Elisabeth Regina Loiola da Cruz Souza,,Administração
Aprendizagem Relacional em Crianças - GPARC,UFMG,Thais Porlan de Oliveira,,Psicologia
Aprendizagem transformadora em ecologia,UFV,Carlos Frankl Sperber,,Ecologia
"Aprendizagem, Comportamento e Letramento informacional",UnB,Kelley Cristine Goncalves Dias Gasque,,Ciência da Informação
"Aprendizagem, Contextos e Desempenho",UFBA,Elisabeth Regina Loiola da Cruz Souza,,Administração
"Aprendizagem, Desenvolvimento e Carreira em STEAM",SENAI/DR/BA,Camila de Sousa Pereira-Guizzo,Marinilda Lima Souza,Psicologia
"Aprendizagem, escolarização e desenvolvimento humano",UnB,Albertina Mitjáns Martínez,Maristela Rossato,Educação
"Aprendizagem, Gestão e Educação-AGE",UFPB,Gabriela Tavares dos Santos,Nívea Marcela Marques Nascimento de Macêdo,Administração
"Aprendizagem, Linguagens e Tecnologias Digitais",UEMG,Andréa Lourdes Ribeiro,Ana Paula Martins Corrêa Bovo,Lingüística
"Aprendizagem, subjetivação e cidadania",UERJ,Eloiza da Silva Gomes de Oliveira,Jose Mauro Goncalves Nunes,Educação
APRENDIZAGENS AFETIVAS NA DIFERENÇA: Direitos Humanos e Educação por uma Ética e Estética da Existência,UVV,Maria Riziane Costa Prates,,Educação
APRENDIZAGENS EM REDE - GRUPAR,UNIRIO,Adriana Rocha Bruno,,Educação
"Aprendizagens,Tecnologias e Educação a Distância",UnB,Amaralina Miranda de Souza,Carlos Alberto Lopes de Sousa,Educação
Aprimoramento em Pesquisa na Saúde e Nutrição HC-UFG/EBSERH,UFG,Ana Paula Perillo Ferreira Carvalho,Malaine Morais Alves Machado,Nutrição
Apropriação social das Tecnologias de Informação e Comunicação / TICs: mídias sociais e seus impactos na educação e promoção de saúde,FIOCRUZ,Paulo Roberto Vasconcellos da Silva,,Saúde Coletiva
Aproveitamento agroindustrial de espécies aquícolas,UNICATOLICA,Silmara Sanae Sakamoto,Leandro Kanamaru Franco de Lima,Medicina Veterinária
"Aproveitamento de Água da Chuva na Amazônia, Saneamento e Meio Ambiente - GPAC Amazônia",UFPA,Ronaldo Lopes Rodrigues Mendes,,Engenharia Civil
Aproveitamento de resíduos,UFRJ,Leila Lea Yuan Visconte,Elen Beatriz Acordi Vasques Pacheco,Engenharia de Materiais e Metalúrgica
Aproveitamento de resíduos agroindustriais para a produção de alimentos.,UFF,Josiane Roberto Domingues,,Ciência e Tecnologia de Alimentos
Aproveitamento de resíduos agroindustriais para fins microbiológicos e biotecnológicos,UFS,Luciana Cristina Lins de Aquino Santana,,Ciência e Tecnologia de Alimentos
"Aproveitamento de Resíduos Agroindustriais, Desenvolvimento de Novos Produtos e Análise de Alimentos",UNEMAT,Raquel Aparecida Loss,Sumaya Ferreira Guedes,Ciência e Tecnologia de Alimentos
Aproveitamento de subprodutos agrícolas no desenvolvimento de produtos alimentícios,UFF,Thais Matsue Uekane,,Ciência e Tecnologia de Alimentos
Aproveitamento Energético,UFMS,Jéferson Meneguin Ortega,Jair de Jesus Fiorentino,Engenharia Elétrica
Aproveitamento Sustentável dos Recursos Aquáticos,UFS,José Milton Barbosa,Israel Hidenburgo Aniceto Cintra,Recursos Pesqueiros e Engenharia de Pesca
"APSE - Análise, Projeto, Inovação, Simulações e Engenharia",UNIFESSPA,Franco Jefferds dos Santos Silva,José Elisandro de Andrade,Engenharia Mecânica
Aptidão física relacionada a saúde,UNIVERSO,Gilberto Reis Agostinho Silva,,Educação Física
Aptidão Física Relacionada à Saúde e ao Desempenho Humano,UENP,Raphael Gonçalves de Oliveira,Laís Campos de Oliveira,Educação Física
aPTIs - SG2 : Advanced Power Technologies and Innovations in Systems and Smart Grids Group,UNIFEI,Antonio Carlos Zambroni de Souza,Benedito Donizeti Bonatto,Engenharia Elétrica
APURA VERDADE - investigação para o combate à desinformação,UTP,Mônica Cristine Fort,Karine Moura Vieira,Comunicação
"AQUAGEO AMBIENTE LEGAL: água, geodireito, geoética, geoparque, educação e legislação ambiental",UNICAMP,Luciana Cordeiro de Souza Fernandes,Alexandre Martins Fernandes,Planejamento Urbano e Regional
AQUAINOVA - Inovação Tecnológica em Aquicultura,SEAPI,Lissandra Souto Cavalli,,Recursos Pesqueiros e Engenharia de Pesca
Aquam - Produção e Conservação da Biodiversidade de Espécies Aquáticas,UFRGS,Danilo Pedro Streit Jr,Leandro Cesar de Godoy,Recursos Pesqueiros e Engenharia de Pesca
AquaNilton,UNINILTON,Gustavo Moraes Ramos Valladão,,Recursos Pesqueiros e Engenharia de Pesca
AquaNutri - Nutrição e Saúde de Peixes,UNESP,Margarida Maria Barros,,Recursos Pesqueiros e Engenharia de Pesca
AQUAPOLI - Água nas cidades,UPE,Simone Rosa da Silva,Micaella Raíssa Falcão de Moura,Engenharia Civil
AQUARELA - Aplicações com Qualidade de Serviços em Redes de Alta Velocidade,UnB,Rafael Timóteo de Sousa Jr,Ricardo Staciarini Puttini,Engenharia Elétrica
AQUARES: Avaliação em Saúde,UFPEL,Luiz Augusto Facchini,Elaine Tomasi,Saúde Coletiva
AQUARIPARIA,UnB,José Francisco Gonçalves Júnior,Lidiamar Barbosa de Albuquerque,Ecologia
AQUASENSE - Sensoriamento remoto para o monitoramento da qualidade das águas continentais,UnB,Henrique Llacer Roig,Jean-Michel Martinez,Geociências
AQUATOXI,UFPR,Ciro Alberto de Oliveira Ribeiro,Maritana Mela Prodocimo,Ecologia
Aquaufersa,UFERSA,Gustavo Henrique Gonzaga da Silva,,Ecologia
AquaUFV,UFV,Rodrigo Fortes da Silva,Leandro Santos Costa,Recursos Pesqueiros e Engenharia de Pesca
AquaXingu-Grupo de estudos de insetos aquáticos,UFPA,Karina Dias da Silva,,Ecologia
Aquicultura,IF-Catarinense,Artur de Lima Preto,,Recursos Pesqueiros e Engenharia de Pesca
Aquicultura,UEMS,Cristiane Fátima Meldau de Campos Amaral,Deliane Cristina Costa,Recursos Pesqueiros e Engenharia de Pesca
Aquicultura do Baixo São Francisco (AQUA BSF),UFAL,Luciano Jorge Amorim Leite,Diogo Bessa Neves Spanghero,Recursos Pesqueiros e Engenharia de Pesca
Aquicultura e Ambiência Animal,IFES,Marcelo Gomes de Araújo,,Zootecnia
AQUICULTURA E ECOLOGIA AQUÁTICA,UFAL,Elton Lima Santos,Emerson Carlos Soares e Silva,Zootecnia
Aquicultura e Pesca no Contexto Amazônico - AQUIPESCA Amazônia,UFPA,Marcos Ferreira Brabo,Diego Maia Zacardi,Recursos Pesqueiros e Engenharia de Pesca
Aquicultura e Recursos Pesqueiros,UEMA,Ícaro Gomes Antonio,Erivânia Gomes Teixeira,Recursos Pesqueiros e Engenharia de Pesca
"Aquicultura Ecossistêmica, Bioeconomia e Bioinovação",UNESP,Guilherme Wolff Bueno,Levi Pompermayer Machado,Recursos Pesqueiros e Engenharia de Pesca
Aquicultura Integrada - SC,IF-Catarinense,Adolfo Jatobá Medeiros Bezerra,,Recursos Pesqueiros e Engenharia de Pesca
"Aquicultura Integrada: Ecologia, Biodiversidade, Fisiologia, Sanidade e Produção Sustentável",UFPR,Erica Alves Gonzalez Vidal,,Zootecnia
Aquicultura na Amazônia,UFRA,Breno Gustavo Bezerra Costa,,Recursos Pesqueiros e Engenharia de Pesca
Aquicultura na Amazônia Ocidental,INPA,Elizabeth Gusmão Affonso,Ligia Uribe Gonçalves,Zootecnia
Aquicultura no Baixo Amazonas,UFOPA,Michelle Midori Sena Fugimura,Lenise Vargas Flôres da Silva,Recursos Pesqueiros e Engenharia de Pesca
Aquicultura Sustentável na Amazônia,UFPA,Lorena Batista de Moura,,Recursos Pesqueiros e Engenharia de Pesca
AQUICULTURA SUSTENTÁVEL NA REGIÃO DO MÉDIO JAGUARIBE,IFCE,José William Alves da Silva,,Recursos Pesqueiros e Engenharia de Pesca
Aquicultura: P&D na Amazônia,EMBRAPA,Edsandra Campos Chagas,Fernanda Ferreira Loureiro de Almeida,Recursos Pesqueiros e Engenharia de Pesca
Aquicultura: P&D na Amazônia,EMBRAPA,Edsandra Campos Chagas,,Recursos Pesqueiros e Engenharia de Pesca
Aquíferos do Estado de São Paulo,IPA,Mara Akie Iritani,Sibele Ezaki,Geociências
"AQUILES - Aquisição de Inglês como Língua Estrangeira: Questões teóricas, pedagógicas e de metodologia de pesquisa",UFSC,Raquel Carolina Souza Ferraz D'Ely,Priscila Fabiane Farias,Letras
"Aquilombando a Universidade: Antirracismo, Direitos Humanos e Resistências",UEL,Andréa Pires Rocha,José Francisco dos Santos,Serviço Social
AQUIMS,UFMS,Jayme Aparecido Povh,Ruy Alberto Caetano Corrêa Filho,Zootecnia
Aquisição e desenvolvimento da linguagem: relações entre fala e escrita,UNISINOS,Cátia de Azevedo Fronza,,Lingüística
Aquisição e Ensino de Inglês como Língua Estrangeira,UTFPR,Andressa Brawerman Albini,Ana Maria dos Santos Garcia Ferreira Martins,Letras
Aquisição e Uso de Fonologia em português brasileiro,USP,Raquel Santana Santos,Graziela Pigatto Bohn,Lingüística
"Aquisição, aprendizagem e processamento de primeira e segundas línguas",UFFS,Claudia Finger-Kratochvil,Luciane Baretta,Lingüística
"Aquisição, Processamento e Sintaxe",UNICAMP,Ruth Elisabeth Vasconcellos Lopes,Juanito Ornelas de Avelar,Lingüística
Ara Poty: Cooperação e Empreendedorismo Indígena,UFGD,Jane Corrêa Alves Mendonça,,Administração
"Aracê - Grupo de Pesquisa em Educação, Sociedade e História Ambiental",IFES,Eduardo Fausto Kuster Cid,Sabrine Lino Pinto,Geografia
Aracnologia,PUCRS,Renato Augusto Teixeira,,Zoologia
ARANDU - Grupo de Estudos e Pesquisa em Filosofia,UFAM,José Roberto Gomes,Danielle Gonzaga de Brito,Filosofia
"Arandu - Grupo de estudos em Educação, Cultura e Sociedade",UFPA,Márcia Vanessa Malcher dos Santos,,Sociologia
ARANDÚ Pesquisa em História e Memória da Dança,UFRGS,Maria Luisa Oliveira da Cunha,,Artes
"Arandu: Laboratório de Estudos em Etnologia, Educação e Sociobiodiversidade",UFSC,Edviges Marta Ioris,Antonella Maria Imperatriz Tassinari,Antropologia
ARAUCÁRIAS: Pesquisa-formação em Redes de Educação Ambiental,UERGS,Rosmarie Reinehr,Marc François Richter,Educação
Arbitragem como instrumento para solução de conflitos decorrentes de contratos comerciais internacionais,UNICURITIBA,Frederico Eduardo Zenedin Glitz,,Direito
